Metabolites_labels,Metabolites,S_1_soil_alone,S_2_soil_alone,S_3_soil_alone,S_4_soil_alone,S_5_soil_nanoplatic,S_6_soil_nanoplatic,S_7_soil_nanoplatic,S_8_soil_nanoplatic,S_9_soil_biochar,S_10_soil_biochar,S_11_soil_biochar,S_12_soil_biochar,S_13_soil_biochar_nanoplastic,S_14_soil_biochar_nanoplastic,S_15_soil_biochar_nanoplastic,S_16_soil_biochar_nanoplastic,S_17_soil_Fe-biochar,S_18_soil_Fe-biochar,S_19_soil_Fe-biochar,S_20_soil_Fe-biochar,S_21_soil_Fe-biochar_nanoplastic,S_22_soil_Fe-biochar_nanoplastic,S_23_soil_Fe-biochar_nanoplastic,S_24_soil_Fe-biochar_nanoplastic
0,Alanine,190214.721229966,166648.430423612,159579.778084585,184181.754990083,69105.404008053,152807.312687158,162727.804963217,166613.166534515,175295.45673143,136279.493013697,166500.864578436,113928.466687537,145574.013441783,154243.884259839,164140.998268158,141132.239572862,156227.426879247,139758.602518507,153706.928879845,163201.716101578,149921.820613594,143321.362274587,162994.163117921,191009.075533481
0,Arginine,192975.708075804,58400.9914646554,136666.817620307,177433.403043651,91406.3928850457,103878.485676591,185874.647277912,79433.5622148876,40579.7868849819,61242.8325527263,84592.6139248171,76470.7003285841,65063.2370425121,85660.9476263598,87223.9826664011,45432.687457742,99496.1705638552,55616.3246816291,71720.1739405119,50876.7850162786,70234.6488576062,87958.0170728419,81458.2059471485,103675.189045867
0,Asparagine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Aspartic acid,184236.922680802,182874.70117033,181766.00114633,254766.116337822,85727.6610899657,162700.978470336,184752.898107577,199673.764723926,120272.527511561,129574.627117711,168439.703468716,151608.871258452,175188.618691791,162481.994959865,186978.188293811,159784.282641766,167508.12323124,138332.378033414,167623.346981578,163507.309288875,178530.299333741,200360.076149396,196250.733787428,213880.567514839
0,Citrulline,192609.460711471,60802.6339322131,139933.839545702,173915.396762331,93404.0360741128,105296.649136395,184078.772795976,81368.2613678116,42050.2891423787,63307.1200944962,85642.4210938943,79031.0307540934,65414.8675428567,83800.8789621736,87514.5883620164,46716.3455860655,102028.955340763,54399.7534583929,73742.3627640104,52179.7894764085,65722.6299619945,84671.3296192024,83611.4550100674,103907.822713007
0,Cysteine,179934.349084036,104388.549196305,149182.134101473,211243.216134459,62315.5795938668,132406.738774296,146695.788125153,130327.489959278,92088.2691990612,109889.134259287,178175.873652553,108100.205457953,86688.1335101718,127852.356732935,135234.140105408,106783.193627755,172594.137531216,108303.541902812,140406.266304905,101581.644216252,180031.863579425,169365.434589065,187952.855411752,204357.217727047
0,Glutamic acid,158267.025877214,153234.635742725,154030.096954472,160418.413207972,131722.861103855,153772.460507494,168845.200975319,157032.957247882,139459.829019876,149707.312743247,161143.433916813,137053.641194658,151412.65028179,157205.295795148,159499.119945084,145921.451242285,155081.767824727,145771.240478614,158706.588181998,162762.150392011,148670.640794248,160267.625322901,152882.365869388,165028.943465647
0,Glutamine,727392.089948571,467873.842533584,618821.134700792,633772.736466452,249229.047309451,635254.752916523,759904.078948768,591033.924673772,338888.538012753,389823.982044005,625939.497255811,459003.883225352,388606.330747309,563319.448868477,557850.582682863,334004.677811493,496542.734928406,422398.628213677,530040.939419246,420480.543986697,619604.432175157,707059.565854116,627601.268617526,737116.193456661
0,Glycine,43223.402377124,47413.0472590561,60579.4209201995,42883.2099355534,13070.5018618995,46919.8123225045,45265.9134794831,37493.6368941278,53962.8862230853,49534.8103629648,63271.1909385558,48511.6044037947,49550.2390162017,41538.1782101771,49540.9395799085,38023.8141834783,49694.8501953251,43905.8272247689,53125.5353784106,59554.188295074,57557.6320216442,38033.5986676796,61888.8187241298,53926.90646114
0,Histidine,31629.420639711,14696.3631199547,17698.2939997621,24731.7121142115,7637.74242347467,18414.7781756859,21900.2005848512,12973.1548042157,8147.43109511162,15839.9914638351,30426.8480935017,20201.2328366467,17470.574081109,18461.4987500254,18355.4661663535,10117.7027750996,14981.2624970851,13253.2985242814,16826.7827986346,12872.3082548339,20917.4313072214,20456.7834162267,13655.0163870451,12280.8594709741
0,Homoserine,210678.486132967,124632.636158511,167712.494111929,245075.428889676,77080.0618650798,155986.965690466,172336.071648185,148456.5478484,110905.583367163,124273.132396835,213791.198073358,120870.447712597,106861.000283621,155236.639909587,158530.840878153,122299.68564784,202812.820193204,124529.92166895,172246.785502204,123143.762588092,203920.432320317,194084.208777891,217295.106257935,234141.9534726
0,Isoleucine,5518.73687323564,2996.6463955307,3110.1995458471,4264.86125200879,697.897377092059,2668.48529643082,3688.3620219157,1728.0547142357,1224.39965779858,2295.61010581867,4150.859253153,3476.53060431494,2394.25283782982,1772.92932861729,2510.17957911449,1250.95950728704,4968.57822292149,1981.36367519193,2312.31308169928,1740.57552814587,6119.74514979749,2757.55042439645,4754.71098101747,2627.9058948249
0,Leucine,206295.467322038,228298.541880307,167456.475579939,203353.591643081,69408.885342004,190230.534492674,187375.801970844,185563.851333808,207274.580926356,237221.975572195,237052.504610888,166989.297825886,253354.308266522,177611.330872517,200759.903011537,193094.232790358,237072.194929031,205956.266352568,186961.773071205,235951.375847795,298627.003581642,226128.749874844,238058.84111554,235690.644552781
0,Lysine,33320.6540567666,43033.0061882013,30797.6454029226,30169.8664576811,21030.898315079,40225.6542736406,30914.2606444307,33360.4553232637,36586.3729304621,57017.399294104,48574.6642604983,34007.6588197679,53164.7817959517,38361.125769008,29803.2102276257,46829.7062510833,27987.3501130588,41167.1945221616,36354.7028859639,33175.2313627887,38843.6712134871,35785.305405176,27961.4641670841,20783.4209849777
0,Methionine,2804.9755841744,3669.46811505368,2548.62990641201,6594.96244022224,1397.56615915854,2893.68423735043,2596.36677601093,2407.36312688038,3334.19296967897,6834.91589052495,6334.43819351851,6891.87867071749,5233.79640681793,2749.47524864889,4100.98652005633,3192.57605403281,6736.16633078064,3598.72353349096,4609.75161469206,3078.31016089195,9827.63924897114,1934.47880550027,6456.9953172072,2715.30932630428
0,Ornithine,4140.72508797461,5195.39255979716,4934.51331028989,3207.01688694528,2359.13607544105,4063.22794807329,4478.82215563755,3405.42410009706,3635.09492871119,5273.85552418007,5068.01052131994,5310.04835576861,7024.4215658289,4429.34795413273,3800.60509951167,3592.93562611515,3546.58284509733,4469.45762500937,3861.20155981574,4067.55873926051,8028.19324016136,3626.29660888273,3691.86351389249,2629.45627081352
0,Phenylalanine,515230.848731749,447437.675892783,308745.336633572,509693.672567245,90569.2858114521,329625.59316203,454220.826236231,333057.121479151,404744.732680786,433851.691256639,570590.206324745,276672.152102628,471207.053370941,318908.413789975,443956.812463942,378118.219299102,576588.056870339,387164.902038733,543193.533396161,498675.033645898,434486.170905156,434613.90273497,559407.375540433,522311.69470385
0,Proline,152865.839919416,284614.960687558,201092.165383926,284577.542710321,38254.7519102866,209512.860027306,136720.110139004,294565.254882776,297998.580591245,462948.469848094,509840.788822539,314994.732352422,502182.354839204,301193.546665429,366453.385573042,385508.796636898,392843.827661599,435005.333033516,381179.75852287,316349.244795052,334110.736591073,258052.524497325,329165.081727677,281262.33411899
0,Serine,172187.164342438,127485.335631984,128404.620701052,197045.670922614,68130.7261320503,103439.232200168,110719.619322465,109321.344103245,97819.0375224343,98807.0238160291,163906.654165833,110631.556957843,106158.500461611,105303.982007765,116486.925385591,77953.9144181682,145421.038139425,121699.731772034,132074.957635871,122140.255822588,164023.685099434,161237.371281991,215529.712384341,246938.637582093
0,Threonine,351183.257677366,213135.550079372,282343.913368173,406258.345289681,136278.261029703,263528.62142877,287688.137184297,251437.550328577,191650.814033809,212842.400309533,356185.095507067,207157.42998603,184495.983322311,262324.154488949,267795.664883699,209376.593140291,338850.523712936,212970.216379854,289616.517031448,210122.797734146,340377.614240572,324631.83748106,361795.32451578,388762.396589157
0,tryptophan,86197.2340060232,67486.8439168037,45751.2571978452,93728.8609629681,13187.5216487684,54028.306350948,76261.6156795841,48107.4832635081,52110.7535254662,54623.9523052173,91279.1797613162,39032.4551503865,64348.0298605958,50155.7635533244,62008.9500293896,51986.4371253888,117385.709337205,61097.8017114386,76075.8156043249,61854.2037278598,72620.0140528322,91454.8592778499,99938.2333031599,83021.9106416229
0,Tyrosine,15999.3900557052,23510.2354287573,14950.0554903744,48483.1203634251,10051.0286003598,14516.5092475572,14609.6821058172,11968.5949733991,18397.3419633131,38930.2690492178,52048.1042009387,33795.4268431893,16797.0933282511,10424.5156614926,22863.8878402076,21715.4475263125,69463.7586654521,18584.7468498956,29028.2184345812,15672.8118421543,50534.8831063178,35736.2569934237,90712.6083768209,39795.2548553839
0,Valine,131056.730706435,102537.729541587,95701.6386103477,143306.440246509,45032.6468356638,85287.5101113184,100112.469025253,101106.445647664,111182.30582678,109964.051110458,130082.964329591,81038.0135526908,94860.6213801275,79501.3590790374,87896.2607903397,108305.101672816,129611.506868482,85969.7027906821,88892.0936862577,92083.9045910801,114827.355885669,99461.1044132976,131343.459762633,123032.169091802
1,2-hydroxycinnamic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4-(Trifuoromethyl)cinnamic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a-Tocopherol,43.3711028907609,140.301846140707,53.5676864596699,43.8818516423407,38.3387050451257,88.6358134605645,36.7800973075768,97.3974905717178,219.846668003259,189.81318398089,88.3970834036261,120.048856091867,187.793992018121,65.2812217451723,43.6915836406892,201.420102541273,43.3817131280592,67.9672711945063,63.0554458830879,104.605106679059,56.1757412671715,72.2973242972468,55.4827775726427,49.2351192803498
1,Chlorogenic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Curcumin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Glutathione reduced,6.86345287318625,3.21758913538473,11.436477391631,21.1959988872399,1.29697492385332,3.85725618257478,4.66536758629515,4.84485852749488,2.35102055327516,9.34911959893225,41.9517723356239,2.07461422108114,2.71788127987769,5.01628185768994,9.79542375669459,2.51066572058806,14.744516639142,4.48361554503129,16.741418627759,5.90325849493466,18.9195439575196,9.37930036029974,24.0900065544119,16.0402163807581
1,L-Dehydroascorbic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Vanillic acid,1.81640931473146,0.717813976694119,1.23115100636762,0.592445270910036,0.680856617809162,0.284945100713433,0.445671540051787,0.261713470049533,0.215498931924966,0.536525161174926,0.671973545815025,0.731656598276487,0.664801132146592,0.464232652683236,0.969157822361475,0.30835896536926,1.39361836096152,0.680610175147477,0.854207016142153,0.523852893548887,1.64454267838035,0.630187741960748,1.42934671122147,1.45583020880013
2,Arachidic acid,11362.2439101579,10864.8637865107,13188.5993199764,13498.8080879542,4342.09397847288,12812.9527377279,11465.7916070994,19206.3292279834,50451.7041603589,12948.2352307475,14369.2393727612,9732.19283260537,9544.13948460634,8293.38111418664,10075.7351765862,10094.3471926638,10083.175937367,8035.11771600734,11620.7440232758,8594.03074766139,13695.2560819835,9354.53475172043,12776.1808913927,6749.20401618643
2,Heptadecanoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Linoleic acid,154828.913402807,196732.935417883,296431.795626088,353688.624503366,95012.3434288762,356385.620819923,159275.33554737,401559.455879353,1063894.97462383,473881.599552011,418206.518327253,401419.578233975,447511.569844174,303060.601449345,299296.343375059,415006.872513899,335531.926362525,384994.848755716,331784.046964227,219959.084488706,450084.095555455,321399.672304742,482550.821640793,371428.957908006
2,Linolenic acid,394347.862586817,657811.119996765,950462.599796933,670144.50023231,327887.621797985,1240475.19170522,569754.725719151,1401309.16930304,3233147.28110883,1148241.60756986,1079963.11648981,931443.467100194,1293561.24714646,999208.447120285,1187232.73822111,1188792.7740266,1026791.51446407,1014142.52604133,958173.829167525,995759.383034056,1278104.43433568,800170.098996343,1227157.83752499,1295711.16994909
2,myristic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Palmitic acid,110809.614045778,216650.0852202,174262.449851702,232694.910691976,84428.1424049243,260959.052414964,85807.855700834,341655.430128372,853150.419897309,361323.421912274,262327.15470948,308741.340459816,311205.731149872,151085.178689757,173416.063139162,303124.701703614,215317.224080584,236343.675506152,181320.116456272,183489.728056961,245107.615909837,175494.905390827,229073.202742245,158375.986503604
2,Pentadecanoic acid,9506.69328318073,11813.5832761706,10566.5961439041,15524.1845858786,5507.52925144324,10952.0029787,10292.0726140262,14800.0082008715,47561.024184599,22417.7583004822,16927.5362921592,13407.0288063599,12073.3965372969,9228.50605203089,14014.3960054934,13976.4230464997,12014.3630026904,16061.8081172636,10750.9270656677,11854.8468165156,9033.09540616271,9197.70040427196,13551.0804463059,10563.9698545792
2,Stearic acid,134714.813193107,282578.936314637,57524.2211472802,116945.679869659,164477.312269134,131660.460104317,92440.4861220922,233761.332003311,679685.108949109,226524.000696035,169109.767651277,221672.730653788,143182.767825511,77779.0421985547,120255.38304235,130279.928618347,115245.263936326,82339.0652594547,97540.6586574687,122401.903798252,185727.261048606,106754.690314488,102299.130767412,39961.7500307934
3,Adenine,3457.36451430536,7232.7324635653,7687.05033378387,8350.5854878507,967.652251981195,7832.53270417025,3544.5001398704,6342.72028212514,16696.0264064,8368.85962305944,7410.77535913588,5757.34570167643,6723.515326524,5912.91015167756,6102.76746656295,5208.6456748455,9000.43310959623,5897.18993650411,7357.95017193316,9141.95597910761,7900.24472657279,6726.3404523547,9633.74750027057,14019.7000019234
3,Adenosine,145410.976544247,175928.971050536,201407.465907122,194792.005551021,31863.0684334473,163267.635691353,126715.318059061,155110.569644751,203180.223867784,156520.469747616,162678.658004826,98114.1000763134,159146.439532274,150462.313970063,155208.390335699,138515.828596272,196532.264051444,127923.093004124,163409.670923399,189592.933197794,178021.667679946,178000.246906625,162317.385207032,244321.196165525
3,AMP,8053.5790228423,800.714891595115,3031.11279510924,4614.70209367309,241.176954828214,1008.31861614298,1445.60584552061,1143.38405148715,2173.23710535163,1770.37719361507,11890.1156239776,195.66765350663,853.640418446383,1042.16215995919,2226.24759294845,722.587780731441,4084.95723499518,961.256391169317,5220.61152179609,2523.79912189123,3301.56624638213,2066.39636206161,8170.91980449509,10399.0888956272
